code,province,labour_force,population,year
AB,Alberta,2708400,3913600,2024
BC,British Columbia,3085900,4732200,2024
MB,Manitoba,766200,1147500,2024
NB,New Brunswick,430300,710200,2024
NL,Newfoundland and Labrador,272000,466600,2024
NS,Nova Scotia,557500,902000,2024
NT,Northwest Territories,24300,34400,2024
NU,Nunavut,15700,26400,2024
ON,Ontario,8754700,13416300,2024
PE,Prince Edward Island,100400,151000,2024
QC,Quebec,4822600,7434700,2024
SK,Saskatchewan,636800,945100,2024
YT,Yukon,27700,36300,2024
